PostId,PostText,PublishedDate
312649-372276,"Ordered R149 sim card deal and I still have not received it...It's been more than a month now,,,I'm so disappointed, I've sent emails and noone is even calling me to explain the reason why 💔💔💔💔😭😭😭",20 04 2022
312649-372610,"I applied for this 10gig for R49, but I haven't received from you",20 04 2022
312649-373597,Compared to Mtn vodacom and cell c yourll are dead last in terms of reliability especially during load shedding,19 04 2022
312649-373685,No one called me back,19 04 2022
312649-373722,Is this deal for contract customers only or what?,19 04 2022
312649-375138,Reinhardt Botha,18 04 2022
312649-375166,0677000079 please call me,18 04 2022
312649-375198,Just to bad I have been trying to log a fault since Thursday and your call centre has a different excuse every time. I was told tonight to do a sim swop even though we are 3 households using who are without internet. Clearly we are with the wrong service provider.,18 04 2022
312649-375570,Zee-wamandiya Tomose,18 04 2022
312649-375767,Kim Philander,18 04 2022
312649-375779,Confused network getbur day and night in order,18 04 2022
312649-376125,Shity network but still using it😒,17 04 2022
312649-376263,"Hi guys.. Wanted to know it's a month to month sooo what do you have to have to get this deal what, stuff do I need?",17 04 2022
312649-376273,U need your sim card,17 04 2022
312649-376275,Mathiso Thimna nantsi iData,17 04 2022
312649-376957,What does limit less data mean on this post?,17 04 2022
312649-377344,Is this for contract or prepaid,16 04 2022
312649-377641,Does this work in all areas ?,16 04 2022
312649-377664,This offer include router?,16 04 2022
312649-377683,Nice deal Mulaudzi Azwi,16 04 2022
312649-378073,Yolanda Mariemuthu,16 04 2022
312649-378094,"Where can I forward my dispute, I suspect fraud. I canceled my contract in March 2022 it has expired. My April bill is R1500 for that number ..",16 04 2022
312649-378339,"Hey, have you heard about Vox Fibre? It's fast, reliable and, best of all, uncapped and unthrottled - meaning you can browse, stream, or download all day, every day (and night), without worry. Vox have a ton of Fibre to the Home packages to choose from. Just check your coverage area, choose your speed, and go: https://s.vox.co.za/xj96kb3w 40Gg any time and 40Gg night every day From R250",15 04 2022
312649-379165,Hi Senzo Is there anything we can assist you with wrt the network? ^Maggie,15 04 2022
312649-379456,Why your wifi lines are down ??????,15 04 2022
312649-380442,How to,14 04 2022
312649-380865,Why can't you make it 240 GB anytime data once some we don't use data at midnight,14 04 2022
312649-382019,I'm interested!,13 04 2022
312649-382271,Hi If you have an existing contract can you upgrade to this?,13 04 2022
312649-382303,Is contract or not?,13 04 2022
312649-382706,Adonis Williams,13 04 2022
312649-382709,Adonis,13 04 2022
312649-383117,Network first Mr Telkom..... 😣,12 04 2022
312649-383320,Have been trying online for so long and have left my details countless times but nobody contacts me,12 04 2022
312649-384444,"Network, network, network mxm Telekom",12 04 2022
312649-384551,Il never shame il rather pay more for better network connection.,12 04 2022
312649-384799,The problem is network coverage really bad,12 04 2022
312649-384881,Sbonelo Mlambo,11 04 2022
312649-384910,But your netwrk service is poor🤦‍♂️,11 04 2022
312649-384923,Kiyara Soobramoney.,11 04 2022
312649-386268,Hoping I will get a call from you guys i signed up for the 59 plan last night.,11 04 2022
312649-386316,Good day how much is month to month contract for 20mb uncapped fibre?With a router?,10 04 2022
312649-386580,Mr-Church Ntuli nayoke,10 04 2022
312649-386651,If its R249 then why do I pay R760,10 04 2022
312649-386692,Khongela Nkuna,10 04 2022
312649-386706,I am glad I was able to upgrade to that plan on Friday. No more data problems,10 04 2022
312649-386920,Must i buy a sim or port to my old Teljom sim,09 04 2022
312649-387091,I need unlimited LTE Price Plan. Can you assist,09 04 2022
312649-387407,Slow network mara mxm😡,08 04 2022
312649-387431,Is it a contract,08 04 2022
312649-387447,What is a month to month contract? Does it have cancelation fee?,08 04 2022
312649-388037,Ngathi ngizo upgrade Nje,08 04 2022
312649-388462,Is this mondi londi?,08 04 2022
312649-388738,"I think the word ""limitless"" is lost on Telkom. limitless -adjective without end, limit, or boundary.",07 04 2022
312649-388752,How long is this deal for n who can apply,07 04 2022
312649-388766,Is there SIM only on this promo and which router does it allow?,07 04 2022
312649-388784,I want this…Pls connect me,07 04 2022
312649-388898,"Guys I have problem with your network, I struggle to connect internet everytime at home, Limpopo, Louis Trichardt, Tshikhwani Village",07 04 2022
312649-389102,Rooble Hashi,07 04 2022
312649-389134,Is it contract or prepaid?,07 04 2022
312649-389507,Contract ?,07 04 2022
312649-389814,Azile Amakhomanzi Mzinyelwa,06 04 2022
312649-389897,Do you guys still have 80+80 data offer?I'm interested in that one.,06 04 2022
312649-390202,It comes with a sim card?,06 04 2022
312649-390206,After how long can one upgrade their contract? And can I please be answered here and not leave my contact details to be contacted by an agent,06 04 2022
312649-390679,What are the requirements ?,06 04 2022
312649-391294,Haw can I get this off?,05 04 2022
312649-391762,What is Telcoms coverage in outer magaliesburg farming area towards rustenburg,05 04 2022
